model,prompt,eng,fra,eng ms,fra ms,aeb,afr,aka,amh,ary,arz,bam,bem,cjk,dik,dyu,ewe,fon,fuv,gaz,hau,ibo,kab,kam,kea,kbp,kik,kin,kmb,knc,kon,lin,lua,lug,luo,mos,nso,nus,nya,plt,por,run,sag,sot,sna,som,ssw,swa,tir,tso,tum,twi,tzm,umb,wol,xho,yor,zul,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
Llama-3.1-70B-Instruct,prompt_1,69.08,76.19,67.4,61.4,55.98,55.93,36.61,41.94,56.38,58.95,31.56,31.24,27.7,28.38,31.43,29.92,32.66,27.19,31.63,35.51,37.13,21.7,29.05,51.23,38.39,31.97,40.04,28.29,34.06,33.67,32.44,30.79,29.87,26.91,28.35,32.11,24.11,33.44,39.86,78.82,33.2,28.29,36.78,32.95,40.07,33.29,46.06,30.04,33.32,32.08,38.25,12.84,26.3,36.64,34.28,29.89,34.41,53.2,38.3,63.6,65.1,48.9,44.6,76.7,58.1,35.2,47.6,49.0,52.6,42.4,73.7,39.1
Llama-3.1-70B-Instruct,prompt_2,88.29,88.68,75.2,69.4,81.84,85.58,46.25,26.48,84.51,82,34.74,43.81,39.78,40.48,38.54,32.44,30.56,42.21,36.88,64.65,62.33,17.92,36.88,71.16,35.92,45.93,56.46,35.82,41.89,52.91,53.38,41.31,48.14,41.65,36.42,44.97,27.26,52.85,57.92,85.27,44.86,42.18,46.35,45.03,43.33,36.43,75.48,14.25,42.75,48.81,49.68,5.69,36.55,50.16,48.1,39.82,49.76,59.0,62.5,73.3,72.6,54.7,60.0,87.2,73.9,45.3,67.7,69.5,48.5,52.2,87.4,50.6
Llama-3.1-70B-Instruct,prompt_3,86.93,88.38,83.3,79.2,86.03,85.48,50.54,68.41,87.24,84.63,36.3,50.23,31.72,31.9,39.28,35.47,30.04,46.41,30.7,75.61,68.94,13.27,37.89,79.89,46.06,50.24,74.06,36.51,40.03,56.97,58.29,37.56,58.52,33.37,32.36,55.82,27.76,59.96,44,86.79,59.81,37.79,54.45,59.05,63.39,45.79,85.23,51.12,49.69,52.07,59.51,4.92,31.13,58.32,65,53.03,57.34,84.6,79.6,86.2,79.4,74.4,72.6,94.8,87.9,69.9,72.1,79.2,71.0,68.4,89.8,57.7
Llama-3.1-70B-Instruct,prompt_4,85.1,84.73,70.9,68.3,73.75,72.65,39.24,44.4,74.63,76.98,25.86,29.44,24.66,29.41,23.79,26.11,26.29,26.66,33.37,42.55,51.42,17.26,27.48,61.32,33.25,40.16,40.32,20.39,31.79,38.34,33.7,27.24,34.33,25.22,24.5,33.61,26.4,39.01,41.04,82.68,31.26,32.94,39.65,30.81,40.39,26.53,58.58,32.5,28.88,34.73,43.41,5.47,19.29,37.39,39.26,38.17,35.16,69.4,64.7,72.3,74.9,61.0,63.7,88.9,81.1,49.9,65.3,68.1,64.3,64.3,87.1,44.0
Llama-3.1-70B-Instruct,prompt_5,76.81,81.88,84.5,79.4,54.68,59.98,35.04,28.99,58.52,60.28,34.24,33.91,28.98,31.51,33.17,33.83,30.45,32.38,27.21,48.5,48.37,22.2,30.18,45.55,34.79,29.13,40.17,26.05,36.22,36.89,32.76,29.89,28.48,29.17,25.05,36.78,24.93,30.96,36.7,75.6,34.82,33.4,38.2,35.25,46.05,28.52,51.14,17.08,29.57,27.31,37.68,10.79,24.75,35.32,39.67,35.9,37.06,72.3,72.8,79.7,80.6,61.0,72.9,93.8,83.2,58.3,73.8,74.8,62.1,64.0,88.6,43.8
Llama-3.1-8B-Instruct,prompt_1,12.75,10.98,54.1,43.1,21.02,15.33,17.28,12.92,19.81,19.66,13.74,12.65,10.8,11.65,10.99,17.29,15.32,11.03,14.63,24.15,16.02,10,11.08,11.99,12.93,13.59,18.56,10.16,10.99,11.97,10.04,10,19.77,12.84,10,10,9.76,11.83,10.99,17.57,18.96,10.98,10,14.93,12.75,10,16.31,11.52,10.98,10.86,18.11,10,10.98,11.97,10,13.78,11.92,0.0,31.6,36.2,52.6,40.8,14.5,56.1,42.6,27.6,35.7,41.4,6.6,26.9,21.9,17.1
Llama-3.1-8B-Instruct,prompt_2,62.57,73.93,72.2,72.3,75.32,76.65,46.16,36.57,78.02,73.39,37.4,36.6,39.53,34.71,36.01,33.81,33.97,33.36,39.75,57.65,43.95,26.4,28.11,73.39,36.85,37.54,49,38.06,40.1,49.12,47.23,43.24,39.08,34.62,34.42,48.77,25.74,44.77,47.31,80.39,41.9,38.41,47.92,42.71,49.12,45.3,66.19,17.84,42.69,44.48,49.9,10.04,36.77,53.77,45.45,45.85,48.89,33.8,55.0,71.5,69.1,47.5,35.4,84.3,72.1,45.5,60.5,65.6,25.0,30.0,72.5,46.7
Llama-3.1-8B-Instruct,prompt_3,79.32,80.31,75.7,77.7,67.8,80.8,43.6,54.54,74.01,70.06,27.97,36.95,20.13,24.56,28.25,31.86,32.34,34.43,20.27,69.93,62.37,7.51,40.28,65.34,32.29,33.38,64.51,18.33,24.27,37.86,43.89,27.48,49.03,37.09,20.78,28.8,24.3,48.74,32.84,78.76,46.31,40.07,38.45,50.82,48.6,28.91,73.48,28.07,35.97,50.51,54.66,2.26,22.75,51.53,52.8,49.42,44.73,52.4,70.8,74.1,78.9,58.3,45.2,87.2,79.5,56.4,59.5,75.2,27.9,44.8,79.8,46.3
Llama-3.1-8B-Instruct,prompt_4,72.11,62.84,68.3,70.1,58.67,63.25,39.22,43.78,62.54,57.74,35.02,42.76,30.11,28.58,32.11,31.8,28.07,30.35,34.54,57.33,48.69,23.96,34.63,60.39,41.34,42,47.09,31.48,39.37,39.69,39.72,36.27,45.05,34.72,29.61,42.61,25.54,49.48,49.4,70.48,47.67,34.38,43.9,47.83,43.15,45.69,62.53,19.95,47.03,42.13,43.94,12.18,31.44,45.36,51.19,37.99,51.87,52.9,64.2,66.7,71.4,49.3,40.3,86.6,78.6,46.9,56.1,70.6,18.0,41.8,84.9,45.4
Llama-3.1-8B-Instruct,prompt_5,67.26,50.26,67.9,73.0,36.01,56.7,32.16,24.5,35.31,34.2,20.88,23.02,21.92,20.6,30.86,26.8,22.39,24.75,24.87,39.18,40.95,12.94,21.94,35.18,24.31,23.77,30.88,20.32,24.4,27.25,25.25,29.14,31.74,26.67,22.7,25.95,16.34,27.22,21.04,37.12,30.83,24.8,24.89,25.6,30.54,26.2,35.75,13.84,24.62,23.59,29.93,9.88,24.37,28.87,24.78,25.91,20.79,53.2,53.5,61.5,59.4,55.6,35.1,68.5,67.4,49.3,51.4,64.9,16.9,28.6,53.8,32.0
